datacenter_id;datacenter_storage_energy;storage_id;system;storage_capacity;capacity_used;inactive_duration;idle_intervals;total_energy_active;total_energy_idle;average_rotation_latency;average_seek_Time;max_internal_data_transfer_rate;idle_power;active_power;
3;73600.48252767278;75;storage;900000.0;27136.0;152.63399474573174;1.000009902918843:;885.2771695252442;3.0000297087565286;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;76;storage;900000.0;20992.0;108.67566974023032;1.0000099776669185:;630.3188844933358;3.0000299330007554;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;77;storage;900000.0;58880.0;297.44910915911765;1.000010068038229:;1725.2048331228827;3.0000302041146867;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;78;storage;900000.0;33280.0;168.14056584902144;1.0000101117790234:;975.2152819243242;3.0000303353370703;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;79;storage;900000.0;22528.0;113.84130320170505;1.0000101947256972:;660.2795585698892;3.0000305841770913;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;80;storage;900000.0;44032.0;222.4396739081873;1.0000103930102966:;1290.1501086674864;3.0000311790308896;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;81;storage;900000.0;37376.0;188.83648787242342;1.000010420850004:;1095.2516296600559;3.000031262550012;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;82;storage;900000.0;16384.0;82.80892960456966;1.000010510382688:;480.291791706504;3.000031531148064;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;83;storage;900000.0;18944.0;95.73613984803032;1.0000107296869492:;555.2696111185758;3.0000321890608475;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;84;storage;900000.0;33280.0;186.2525593677077;1.0000107959785784:;1080.2648443327043;3.000032387935735;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;85;storage;900000.0;18944.0;95.73333862604116;1.000011019821045:;555.2533640310387;3.000033059463135;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;86;storage;900000.0;30720.0;155.20463893799672;1.0000110225094252:;900.1869058403809;3.0000330675282756;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;87;storage;900000.0;17408.0;87.97744258349594;1.000011064122319:;510.26916698427647;3.000033192366957;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;88;storage;900000.0;26624.0;134.52613309052597;1.0000111476055693:;780.2515719250506;3.000033442816708;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;89;storage;900000.0;16384.0;82.80614159422007;1.0000112882623617:;480.2756212464764;3.0000338647870852;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;90;storage;900000.0;20992.0;106.08198372822922;1.000011354129565:;615.2755056237295;3.000034062388695;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;91;storage;900000.0;27136.0;137.11121974390608;1.0000114022300073:;795.2450745146554;3.000034206690022;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;92;storage;900000.0;18432.0;106.08826669807264;1.0000116177205967:;615.3119468488214;3.00003485316179;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;93;storage;900000.0;23040.0;116.42664398061126;1.0000116493102094:;675.2745350875451;3.000034947930628;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;94;storage;900000.0;23552.0;119.00652813472462;1.0000117173900525:;690.2378631814026;3.0000351521701574;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;95;storage;900000.0;15360.0;93.14582530191723;1.0000119641236918:;540.2457867511199;3.0000358923710753;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;96;storage;900000.0;34816.0;175.8948544083355;1.0000122257484436:;1020.190155568346;3.0000366772453306;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;97;storage;900000.0;22016.0;126.76698826401685;1.0000122779754494:;735.2485319312977;3.000036833926348;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;98;storage;900000.0;18432.0;93.15008857073377;1.0000123299518104:;540.2705137102558;3.000036989855431;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;99;storage;900000.0;17920.0;90.56134929294535;1.0000123527477154:;525.255825899083;3.000037058243146;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;100;storage;900000.0;18432.0;93.14712553667934;1.0000124809854287:;540.2533281127402;3.000037442956286;0.003;0.004;198.0;3.0;5.8;
